frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
8,2.118,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.856,1725,578,1822,852,1773,852,1280,720,true,down,4.0
8,2.118,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.782,1200,642,1338,762,1269,762,1280,720,true,down,4.0
8,2.118,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.696,1617,555,1761,749,1689,749,1280,720,true,down,12.6
8,2.118,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.564,875,641,1003,759,939,759,1280,720,true,down,14.4
8,2.118,Dakar - Scène 1,group_01,traffic.mp4,10,person,0.488,1817,613,1857,762,1837,762,1280,720,true,down,0.0
9,2.372,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.929,1350,405,1614,786,1482,786,1280,720,true,down,8.8
9,2.372,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.926,1,479,851,1070,426,1070,1280,720,true,down,43.3
9,2.372,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.891,963,658,1174,799,1069,799,1280,720,true,down,12.4
9,2.372,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.829,1725,580,1821,856,1773,856,1280,720,true,down,15.7
9,2.372,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.765,1199,641,1337,763,1268,763,1280,720,true,down,5.6
9,2.372,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.614,882,642,1006,759,944,759,1280,720,true,down,19.7
9,2.372,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.59,1621,566,1749,750,1685,750,1280,720,true,down,16.2
9,2.372,Dakar - Scène 1,group_01,traffic.mp4,10,person,0.468,1817,615,1855,763,1836,763,1280,720,true,down,5.6
10,2.622,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.92,1349,405,1616,788,1482,788,1280,720,true,down,8.0
10,2.622,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.891,957,658,1172,801,1064,801,1280,720,true,down,21.5
10,2.622,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.89,0,473,823,1070,411,1070,1280,720,true,down,60.0
10,2.622,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.856,1726,582,1828,857,1777,857,1280,720,true,down,16.5
10,2.622,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.805,1197,640,1336,765,1267,765,1280,720,true,down,8.9
10,2.622,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.695,1856,587,1919,888,1888,888,1280,720,true,down,82.6
10,2.622,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.596,1620,558,1761,751,1691,751,1280,720,true,down,24.3
10,2.622,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.569,889,641,1005,758,947,758,1280,720,true,down,12.6
10,2.622,Dakar - Scène 1,group_01,traffic.mp4,10,person,0.391,1814,625,1857,764,1836,764,1280,720,true,down,4.0
11,2.878,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.923,1345,405,1616,794,1481,794,1280,720,true,down,23.8
11,2.878,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.864,953,660,1167,803,1060,803,1280,720,true,down,17.5
11,2.878,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.852,0,469,796,1069,398,1069,1280,720,true,down,50.9
11,2.878,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.85,1728,584,1833,860,1780,860,1280,720,true,down,16.6
11,2.878,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.782,1196,642,1334,767,1265,767,1280,720,true,down,11.0
11,2.878,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.706,893,645,1005,761,949,761,1280,720,true,down,14.1
11,2.878,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.659,1859,595,1919,894,1889,894,1280,720,true,down,23.8
11,2.878,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.58,1620,556,1768,752,1694,752,1280,720,true,down,12.4
12,3.128,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.921,1344,405,1613,795,1479,795,1280,720,true,down,8.9
12,3.128,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.891,945,663,1163,806,1053,806,1280,720,true,down,30.5
12,3.128,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.884,1,460,773,1069,387,1069,1280,720,true,down,44.0
12,3.128,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.855,1729,585,1834,861,1781,861,1280,720,true,down,5.7
12,3.128,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.76,1194,643,1332,769,1263,769,1280,720,true,down,11.3
12,3.128,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.744,760,659,874,764,817,764,1280,720,true,down,0.0
12,3.128,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.715,896,649,1003,765,949,765,1280,720,true,down,16.0
12,3.128,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.701,1861,595,1919,894,1890,894,1280,720,true,down,4.0
12,3.128,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.54,1623,565,1765,754,1694,754,1280,720,true,down,8.0
13,3.388,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.921,1342,405,1614,800,1478,800,1280,720,true,down,19.6
13,3.388,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.909,0,455,751,1070,376,1070,1280,720,true,down,42.5
13,3.388,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.895,941,667,1159,810,1050,810,1280,720,true,down,19.2
13,3.388,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.856,1731,585,1835,866,1783,866,1280,720,true,down,20.7
13,3.388,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.771,749,663,880,768,814,768,1280,720,true,down,19.2
13,3.388,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.725,1194,647,1332,773,1263,773,1280,720,true,down,15.4
